Timestamp,Gesture_Label,Voltage
1773226726.459157,Rest (Baseline),-0.2781325906980783
1773226726.460157,Rest (Baseline),-0.20843023038469255
1773226726.461157,Rest (Baseline),-0.08709649206139147
1773226726.462157,Rest (Baseline),0.07037921086885035
1773226726.463157,Rest (Baseline),0.2510890339035541
1773226726.464157,Rest (Baseline),0.440834348089993
1773226726.465157,Rest (Baseline),0.6176718177739531
1773226726.466157,Rest (Baseline),0.7622396762017161
1773226726.467157,Rest (Baseline),0.8564669410698116
1773226726.468157,Rest (Baseline),0.8913181212265044
1773226726.469157,Rest (Baseline),0.8616300788708031
1773226726.470157,Rest (Baseline),0.7725659518036991
1773226726.471157,Rest (Baseline),0.6357428000774235
1773226726.472157,Rest (Baseline),0.4640684681944549
1773226726.473157,Rest (Baseline),0.26786923175677657
1773226726.474157,Rest (Baseline),0.06521607306785882
1773226726.475157,Rest (Baseline),-0.125820025568828
1773226726.476157,Rest (Baseline),-0.2832957284990698
1773226726.4771569,Rest (Baseline),-0.39172162231989205
1773226726.478157,Rest (Baseline),-0.436899078078568
1773226726.479157,Rest (Baseline),-0.4188280957750976
1773226726.480157,Rest (Baseline),-0.3413810287602246
1773226726.481157,Rest (Baseline),-0.21617493708617985
1773226726.482157,Rest (Baseline),-0.05611766525544226
1773226726.483157,Rest (Baseline),0.12846451113000512
1773226726.484157,Rest (Baseline),0.31562825641594827
1773226726.485157,Rest (Baseline),0.49246572609990835
1773226726.486157,Rest (Baseline),0.6344520156271756
1773226726.487157,Rest (Baseline),0.7248069271445274
1773226726.488157,Rest (Baseline),0.7570765384007245
1773226726.489157,Rest (Baseline),0.7260977115947753
1773226726.490157,Rest (Baseline),0.6383243689779192
1773226726.491157,Rest (Baseline),0.5066643550526351
1773226726.492157,Rest (Baseline),0.34015316097065806
1773226726.493157,Rest (Baseline),0.1542802001349628
1773226726.494157,Rest (Baseline),-0.036755898501724005
1773226726.495157,Rest (Baseline),-0.20972101483494043
1773226726.496157,Rest (Baseline),-0.3491257354617119
1773226726.497157,Rest (Baseline),-0.4343175091780722
1773226726.498157,Rest (Baseline),-0.4601331981830299
1773226726.499157,Rest (Baseline),-0.42399123357608914
1773226726.5001569,Rest (Baseline),-0.3310547531582415
1773226726.501157,Rest (Baseline),-0.1968131703324616
1773226726.502157,Rest (Baseline),-0.029011191800236702
1773226726.503157,Rest (Baseline),0.15686176903545856
1773226726.504157,Rest (Baseline),0.3440255143214017
1773226726.505157,Rest (Baseline),0.5156998462043703
1773226726.506157,Rest (Baseline),0.6486506445799023
1773226726.507157,Rest (Baseline),0.729970064945519
1773226726.508157,Rest (Baseline),0.751913400599733
1773226726.509157,Rest (Baseline),0.7131898670922965
1773226726.510157,Rest (Baseline),0.6176718177739531
1773226726.511157,Rest (Baseline),0.4873025882989168
