Timestamp,Gesture_Label,Voltage
1773226322.6566973,Rest (Baseline),-0.10516747436486185
1773226322.6576972,Rest (Baseline),-0.11549374996684492
1773226322.6586974,Rest (Baseline),-0.1335647322703153
1773226322.6596973,Rest (Baseline),-0.16067120572552085
1773226322.6606972,Rest (Baseline),-0.1968131703324616
1773226322.6616974,Rest (Baseline),-0.23940905719064176
1773226322.6626973,Rest (Baseline),-0.2845865129493177
1773226322.6636972,Rest (Baseline),-0.32589161535725
1773226322.6646972,Rest (Baseline),-0.35945201106369495
1773226322.6656973,Rest (Baseline),-0.3775229933671653
1773226322.6666973,Rest (Baseline),-0.38526770006865263
1773226322.6676972,Rest (Baseline),-0.381395346717909
1773226322.6686974,Rest (Baseline),-0.3659059333149344
1773226322.6696973,Rest (Baseline),-0.3387994598597288
1773226322.6706972,Rest (Baseline),-0.30265749525278807
1773226322.6716974,Rest (Baseline),-0.2600616083946079
1773226322.6726973,Rest (Baseline),-0.21617493708617985
1773226322.6736972,Rest (Baseline),-0.1735790502279997
1773226322.6746972,Rest (Baseline),-0.1413094389718026
1773226322.6756973,Rest (Baseline),-0.12323845666833222
1773226322.6766973,Rest (Baseline),-0.1167845344170928
1773226322.6776972,Rest (Baseline),-0.12194767221808434
1773226322.6786973,Rest (Baseline),-0.1400186545215547
1773226322.6796973,Rest (Baseline),-0.16712512797676027
1773226322.6806972,Rest (Baseline),-0.2045578770339489
1773226322.6816974,Rest (Baseline),-0.24844454834237695
1773226322.6826973,Rest (Baseline),-0.29491278855130076
1773226322.6836972,Rest (Baseline),-0.3387994598597288
1773226322.6846974,Rest (Baseline),-0.369778286665678
1773226322.6856973,Rest (Baseline),-0.39172162231989205
1773226322.6866972,Rest (Baseline),-0.39817554457113147
1773226322.6876972,Rest (Baseline),-0.3968847601208836
1773226322.6886973,Rest (Baseline),-0.38397691561840475
1773226322.6896973,Rest (Baseline),-0.36074279551394284
1773226322.6906972,Rest (Baseline),-0.3297639687079936
1773226322.6916974,Rest (Baseline),-0.292331219650805
1773226322.6926973,Rest (Baseline),-0.25489847059361637
1773226322.6936972,Rest (Baseline),-0.2200472904369235
1773226322.6946974,Rest (Baseline),-0.19810395478270948
1773226322.6956973,Rest (Baseline),-0.1877776791807264
1773226322.6966972,Rest (Baseline),-0.1877776791807264
1773226322.6976972,Rest (Baseline),-0.19939473923295736
1773226322.6986973,Rest (Baseline),-0.22262885933741927
1773226322.6996973,Rest (Baseline),-0.2536076861433685
1773226322.7006972,Rest (Baseline),-0.292331219650805
1773226322.7016973,Rest (Baseline),-0.33492710650898516
1773226322.7026973,Rest (Baseline),-0.3775229933671653
1773226322.7036972,Rest (Baseline),-0.4123741735238582
1773226322.7046974,Rest (Baseline),-0.436899078078568
1773226322.7056973,Rest (Baseline),-0.44851613813079894
1773226322.7066972,Rest (Baseline),-0.44722535368055105
1773226322.7076974,Rest (Baseline),-0.4356082936283201
1773226322.7086973,Rest (Baseline),-0.4097926046233624
1773226322.7096972,Rest (Baseline),-0.3775229933671653
1773226322.7106972,Rest (Baseline),-0.33492710650898516
1773226322.7116973,Rest (Baseline),-0.28845886630006135
1773226322.7126973,Rest (Baseline),-0.2432814105413854
1773226322.7136972,Rest (Baseline),-0.20197630813345313
1773226322.7146974,Rest (Baseline),-0.17616061912849545
1773226322.7156973,Rest (Baseline),-0.16196199017576873
1773226322.7166972,Rest (Baseline),-0.15808963682502508
1773226322.7176974,Rest (Baseline),-0.16712512797676027
1773226322.7186973,Rest (Baseline),-0.18648689473047853
1773226322.7196972,Rest (Baseline),-0.21359336818568408
1773226322.7206972,Rest (Baseline),-0.24973533279262483
1773226322.7216973,Rest (Baseline),-0.28845886630006135
1773226322.7226973,Rest (Baseline),-0.3246008309070021
1773226322.7236972,Rest (Baseline),-0.3555796577129513
1773226322.7246974,Rest (Baseline),-0.3736506400164217
1773226322.7256973,Rest (Baseline),-0.3788137778174132
1773226322.7266972,Rest (Baseline),-0.3736506400164217
1773226322.7276974,Rest (Baseline),-0.3568704421631992
1773226322.7286973,Rest (Baseline),-0.3323455376084894
1773226322.7296972,Rest (Baseline),-0.2987851419020444
1773226322.7306972,Rest (Baseline),-0.25877082394436
1773226322.7316973,Rest (Baseline),-0.21746572153642774
1773226322.7326972,Rest (Baseline),-0.17745140357874334
1773226322.7336972,Rest (Baseline),-0.14518179232254624
1773226322.7346973,Rest (Baseline),-0.12711081001907587
1773226322.7356973,Rest (Baseline),-0.11936610331758857
1773226322.7366972,Rest (Baseline),-0.12323845666833222
1773226322.7376974,Rest (Baseline),-0.13743708562105894
1773226322.7386973,Rest (Baseline),-0.16196199017576873
1773226322.7396972,Rest (Baseline),-0.19423160143196583
1773226322.7406974,Rest (Baseline),-0.23166435048915446
1773226322.7416973,Rest (Baseline),-0.27296945289708674
1773226322.7426972,Rest (Baseline),-0.3091114175040275
1773226322.7436972,Rest (Baseline),-0.33621789095923305
1773226322.7446973,Rest (Baseline),-0.35041651991195977
1773226322.7456973,Rest (Baseline),-0.35170730436220765
1773226322.7466972,Rest (Baseline),-0.3413810287602246
1773226322.7476974,Rest (Baseline),-0.31943769310601056
1773226322.7486973,Rest (Baseline),-0.28716808184981346
1773226322.7496972,Rest (Baseline),-0.24715376389212906
1773226322.7506974,Rest (Baseline),-0.20197630813345313
1773226322.7516973,Rest (Baseline),-0.15550806792452931
1773226322.7526972,Rest (Baseline),-0.11162139661610126
1773226322.7536972,Rest (Baseline),-0.07935178535990417
1773226322.7546973,Rest (Baseline),-0.05999001860618591
1773226322.7556973,Rest (Baseline),-0.05224531190469861
1773226322.7646506,Rest (Baseline),-0.05611766525544226
1773226322.7656505,Rest (Baseline),-0.07160707865841687
1773226322.7666507,Rest (Baseline),-0.09613198321312666
1773226322.7676506,Rest (Baseline),-0.12969237891957164
1773226322.7686505,Rest (Baseline),-0.16970669687725604
1773226322.7696507,Rest (Baseline),-0.20972101483494043
1773226322.7706506,Rest (Baseline),-0.24715376389212906
1773226322.7716506,Rest (Baseline),-0.2742602373473346
1773226322.7726505,Rest (Baseline),-0.2858772973995656
1773226322.7736506,Rest (Baseline),-0.28845886630006135
1773226322.7746506,Rest (Baseline),-0.27942337514832616
1773226322.7756505,Rest (Baseline),-0.25748003949411213
1773226322.7766507,Rest (Baseline),-0.22650121268816292
1773226322.7776506,Rest (Baseline),-0.18648689473047853
1773226322.7786505,Rest (Baseline),-0.1400186545215547
1773226322.7796507,Rest (Baseline),-0.09225962986238301
1773226322.7806506,Rest (Baseline),-0.047082174103707075
1773226322.7816505,Rest (Baseline),-0.01481256284750998
1773226322.7826505,Rest (Baseline),0.004549203906208277
1773226322.7836506,Rest (Baseline),0.01229391060769558
1773226322.7846506,Rest (Baseline),0.007130772806704044
1773226322.7856505,Rest (Baseline),-0.007067856146022677
1773226322.7866507,Rest (Baseline),-0.03417432960122824
1773226322.7876506,Rest (Baseline),-0.07031629420816898
1773226322.7886505,Rest (Baseline),-0.11033061216585338
1773226322.7896507,Rest (Baseline),-0.15034493012353778
1773226322.7906506,Rest (Baseline),-0.1890684636309743
