Timestamp,Gesture_Label,Voltage
1773477202.8590045,Rest (Baseline),0.17622353578917682
1773477202.8600044,Rest (Baseline),0.08715940872207284
1773477202.8610046,Rest (Baseline),0.0058399883564561605
1773477202.8620045,Rest (Baseline),-0.057408449705690145
1773477202.8630044,Rest (Baseline),-0.09613198321312666
1773477202.8640046,Rest (Baseline),-0.1090398277156055
1773477202.8650045,Rest (Baseline),-0.09484119876287878
1773477202.8660045,Rest (Baseline),-0.05224531190469861
1773477202.8670044,Rest (Baseline),0.01229391060769558
1773477202.8680046,Rest (Baseline),0.08715940872207284
1773477202.8690045,Rest (Baseline),0.17493275133892894
1773477202.8700044,Rest (Baseline),0.26270609395578504
1773477202.8710046,Rest (Baseline),0.34144394542090595
1773477202.8720045,Rest (Baseline),0.407273952383548
1773477202.8730044,Rest (Baseline),0.4498698392417282
1773477202.8740046,Rest (Baseline),0.46794082154519856
1773477202.8750045,Rest (Baseline),0.4576145459432155
1773477202.8760045,Rest (Baseline),0.4176002279855311
1773477202.8770044,Rest (Baseline),0.3530610054731369
1773477202.8780046,Rest (Baseline),0.2717415851075202
1773477202.8790045,Rest (Baseline),0.18009588913992047
1773477202.8800044,Rest (Baseline),0.08974097762256861
1773477202.8810046,Rest (Baseline),0.007130772806704044
1773477202.8820045,Rest (Baseline),-0.057408449705690145
1773477202.8830044,Rest (Baseline),-0.10000433656387031
1773477202.8840046,Rest (Baseline),-0.1167845344170928
1773477202.8850045,Rest (Baseline),-0.10516747436486185
1773477202.8860044,Rest (Baseline),-0.06644394085742533
1773477202.8870046,Rest (Baseline),-0.005777071695774794
1773477202.8880045,Rest (Baseline),0.06779764196835458
1773477202.8890045,Rest (Baseline),0.15169863123446703
1773477202.8900044,Rest (Baseline),0.23689040495082736
1773477202.8910046,Rest (Baseline),0.3143374719657004
1773477202.8920045,Rest (Baseline),0.3775859100278467
1773477202.8930044,Rest (Baseline),0.418891012435779
1773477202.8940046,Rest (Baseline),0.4343804258387536
1773477202.8950045,Rest (Baseline),0.42147258133627474
1773477202.8960044,Rest (Baseline),0.38016747892834246
1773477202.8970046,Rest (Baseline),0.3130466875154525
1773477202.8980045,Rest (Baseline),0.23172726714983582
1773477202.8990045,Rest (Baseline),0.14008157118223608
